函数名,调用次数,总耗时(ms),平均耗时(ms),最小耗时(ms),最大耗时(ms)
m_vpc_mut_ty_log2::Update,280,1074.29,3.84,3.56,5.89
数据读取,1,687.45,687.45,687.45,687.45
m_vpc_mut_ty_log2::Init,1,4.00,4.00,4.00,4.00
