函数名,调用次数,总耗时(ms),平均耗时(ms),最小耗时(ms),最大耗时(ms)
数据读取,1,13.07,13.07,13.07,13.07
m_vpc_mut_ty_log1::Update,290,2.05,0.01,0.01,0.03
m_vpc_mut_ty_log1::Init,1,0.20,0.20,0.20,0.20
